Prey;WT_NC;WT_S;WT_FCS;G12_NC;G12_S;G12_FCS;G13_NC;G13_S;G13_FCS;Q61_NC;Q61_S;Q61_FCS
E9PER6;0;0;0;0;0;0;0;0;0;0;0;0
E9PF10;0;1;1;1;1;1;0;1;1;1;1;1
E9PF19;0;0;0;0;0;0;0;0;0;0;0;0
E9PFQ4;0;0;0;0;1;0;0;0;0;0;0;0
Q14738;0;0;0;0;0;0;0;0;0;0;0;0
E9PG71;0;0;0;0;0;0;0;0;0;0;0;0
E9PGT1;0;0;0;0;0;0;0;0;0;0;0;0
Q05682-5;1;1;1;1;1;0;1;1;1;1;1;1
E9PHA2;0;0;0;0;0;0;0;0;1;0;0;1
E9PHM6;1;1;1;0;1;0;0;0;1;1;1;1
E9PHX8;0;0;0;0;0;0;0;0;0;0;0;0
E9PHY5;1;1;1;0;1;0;0;1;1;1;1;0
E9PJH7;0;0;0;0;0;0;0;0;0;0;0;0
E9PJN0;0;0;0;0;0;0;0;0;0;0;0;0
P29692;0;0;0;0;0;0;0;0;0;0;0;0
E9PK09;0;0;0;0;0;0;0;0;0;0;0;0
E9PKC0;1;1;1;0;1;0;0;1;0;1;1;0
H7BXH2;0;0;0;0;0;0;0;0;0;0;0;0
E9PKG1;0;0;0;0;0;0;0;0;0;1;1;0
E9PLK3;0;0;0;0;0;0;0;0;0;0;0;0
E9PM19;0;0;0;0;0;0;0;0;0;0;0;0
E9PRZ9;0;0;0;0;0;0;0;0;0;0;0;0
E9PRJ3;0;0;0;0;0;0;0;0;0;0;0;0
E9PMR6;0;0;0;0;0;0;0;0;0;0;0;0
E9PQY2;0;0;0;0;0;0;0;0;0;0;0;0
F1T0I1;1;1;1;1;1;1;1;1;1;1;1;1
F2Z2E2;0;0;0;0;0;0;0;0;0;0;0;0
F2Z2W7;0;0;0;0;0;0;0;0;0;0;0;0
F5GWT4;0;0;0;0;0;0;0;0;0;0;1;0
F5GX77;0;0;1;0;0;1;0;0;1;1;0;1
F5GYL3;0;0;0;0;0;0;0;0;0;0;0;0
F5GYN4;0;0;0;0;0;0;0;0;0;0;0;0
F5GZS6;1;1;1;1;1;1;1;1;1;1;1;1
Q07864;0;0;0;0;0;0;0;0;0;0;0;0
F5H1Y4;0;0;0;0;0;0;0;0;0;0;0;0
P11586;0;0;0;0;0;0;0;0;0;0;0;0
F5H365;0;0;0;0;0;0;0;0;0;0;0;0
Q9H9H4;0;0;0;0;0;0;0;0;0;0;0;0
F5H4P8;0;0;0;0;0;0;0;0;0;0;0;0
P55209;0;0;0;0;0;0;0;0;0;0;0;0
F5H5D3;0;0;0;0;0;0;0;0;0;0;0;0
F5H5I6;0;0;0;0;0;0;0;0;0;0;0;0
O75581;0;0;0;0;0;0;0;0;0;0;0;0
F6TLX2;0;0;0;0;0;0;0;0;0;0;0;0
H7BXD8;0;0;0;0;0;0;0;0;0;0;0;0
F6VRR5;0;0;0;0;0;0;0;0;0;0;0;0
F8VPD4;0;0;0;0;0;0;0;0;0;0;0;0
H0YH87;0;0;0;0;0;0;0;0;0;0;0;0
F8VUY8;0;1;1;1;1;1;0;1;1;1;1;0
F8VVA7;0;0;0;0;0;0;0;0;0;0;0;0
F8VVB8;0;0;0;0;0;0;0;0;0;0;0;0
F8VVL1;0;0;0;0;0;0;0;0;0;0;0;0
F8VXC8;0;0;0;0;0;0;0;0;0;0;0;0
F8W1F5;0;0;0;0;0;0;0;0;0;0;0;0
F8W1R7;0;0;0;0;0;0;1;0;0;1;0;0
F8W6I7;0;0;0;0;0;0;0;0;0;0;0;0
F8W727;0;0;0;0;0;0;0;0;0;0;0;0
F8W7U8;0;0;0;0;0;0;0;0;0;0;0;0
F8WA39;0;0;0;0;0;0;0;0;0;0;0;0
F8WAE5;0;0;0;0;0;0;0;0;0;0;0;0
F8WE88;1;0;1;1;0;1;1;0;1;1;0;0
G3V2V6;0;0;0;0;0;0;0;0;0;0;0;0
G3V325;0;0;0;0;0;0;0;0;0;0;0;0
G3V438;0;0;0;0;0;0;0;0;0;0;0;0
G3V5T9;0;0;0;0;0;0;0;0;0;0;0;0
G3V5Z7;0;0;0;0;0;0;0;0;0;0;0;0
G3XAH6;0;0;0;0;0;0;0;0;0;0;0;0
G5E933;1;1;1;1;1;1;1;1;1;1;1;1
G5E9A6;0;0;0;0;0;0;0;0;0;0;0;0
G5E9E7;1;1;1;1;1;1;1;1;1;1;1;1
G5EA36;0;0;0;0;0;0;0;0;0;0;0;0
P31943;0;0;0;0;0;0;0;0;0;0;0;0
Q8IUD2;0;0;0;0;0;0;0;0;0;0;0;0
O00429-6;0;0;0;0;0;0;0;0;0;0;0;0
H0Y2Y8;1;1;1;1;1;1;1;1;1;1;1;0
Q5QPK2;0;0;0;0;0;0;0;0;0;0;0;0
H0Y3A3;0;0;0;0;0;0;0;0;0;0;0;0
H0Y599;0;0;0;0;0;0;0;0;0;0;0;0
H0Y5B4;0;0;0;0;0;0;0;0;0;0;0;0
H0Y720;0;0;0;0;0;0;0;0;0;0;0;0
H0Y7A7;0;0;0;0;0;0;0;0;0;0;0;0
H0Y8B3;0;0;0;0;0;0;0;0;0;0;0;0
H0Y8G5;0;0;0;0;0;0;0;0;0;0;0;0
H0YAH0;0;0;0;0;0;0;0;0;0;0;0;0
H0YAW0;0;0;0;0;0;0;0;0;0;0;0;0
H0YCK3;0;0;0;0;0;0;0;0;0;0;0;0
Q5T4K5;0;0;0;0;0;0;0;0;0;0;0;0
H0YDU8;0;0;0;0;0;0;0;0;0;0;0;0
H0YME5;0;0;0;0;0;0;0;0;0;0;0;0
H0YMV8;0;0;0;0;0;0;0;0;0;0;0;0
H0YNH8;1;1;1;1;1;1;1;1;1;1;1;1
H0YNK6;0;0;0;0;0;0;0;0;0;0;0;0
H0YNW5;0;0;0;0;0;0;0;0;0;0;0;0
H3BLZ8;0;0;0;0;0;0;0;0;0;0;0;0
H3BMH2;0;0;0;0;0;0;0;0;0;0;0;0
H3BMU1;0;0;0;0;0;0;0;0;0;0;0;0
H3BNU1;0;0;0;0;0;0;0;0;0;0;0;0
H3BPE1;1;1;1;1;1;1;1;1;1;1;1;1
H3BPF6;0;0;0;0;0;0;0;0;0;0;0;0
Q12968;0;0;0;0;0;0;0;0;0;0;0;0
H3BRE8;0;0;0;0;0;0;0;0;0;0;0;0
H3BTB7;0;0;0;0;0;0;0;0;0;0;0;0
H3BU68;0;0;0;0;0;0;0;0;0;0;0;0
H7BXI1;0;0;0;0;0;0;0;0;0;0;0;0
H7BXY3;0;0;0;0;0;0;0;0;0;0;0;0
H7C0E5;0;0;0;0;0;0;0;0;0;0;0;0
H7C0Q6;0;0;0;0;0;0;0;0;0;0;0;0
H7C155;0;0;0;0;1;0;0;1;1;0;1;0
H7C1N2;0;0;0;0;0;0;0;0;0;0;0;0
H7C3A1;0;0;0;0;0;0;0;0;0;0;0;0
H7C3M7;0;0;0;0;0;0;0;0;0;0;0;0
H7C3T2;0;0;0;0;0;0;0;0;0;0;0;0
H7C5E4;0;0;0;0;0;0;0;0;0;0;0;0
H7C5G1;0;0;0;0;0;0;0;0;0;0;0;0
I3L0H8;0;0;0;0;0;0;0;0;0;0;0;0
I3L0N3;0;0;0;0;0;0;0;0;0;0;0;0
I3L112;0;0;0;0;0;0;0;0;0;0;0;0
I3L2B0;0;0;0;0;0;0;0;0;0;0;0;0
I3L2C7;0;0;0;0;0;0;0;0;0;0;0;0
I3L2J8;0;0;0;0;0;0;0;0;0;0;0;0
I3L2W9;0;0;0;0;0;0;0;0;0;0;0;0
I3L2Z5;0;0;0;0;0;0;0;0;0;0;0;0
I3L397;1;1;1;1;1;1;1;1;1;1;1;0
I6L894;0;0;0;0;0;0;0;0;0;0;0;0
J3KN01;1;1;1;1;1;1;1;1;1;1;1;1
Q5VYK3;0;0;0;0;0;0;0;0;0;0;0;0
J3KN66;0;0;0;0;0;0;0;0;0;0;0;0
Q9UJV9;0;0;0;0;0;0;0;0;0;0;0;0
J3KNS1;0;0;0;0;0;0;0;0;0;0;0;0
J3KPP4;0;0;0;0;0;0;0;0;0;0;0;0
J3KQ32;0;0;0;0;0;0;0;0;0;0;0;0
J3KQ48;0;0;0;0;0;0;0;0;0;0;0;0
J3KQR7;0;0;0;0;0;0;0;0;0;0;0;0
Q9BTW9;0;0;0;0;0;0;0;0;0;0;0;0
J3KTA4;0;0;0;0;0;0;0;0;0;0;0;0
J3QR09;0;0;0;0;0;0;0;0;0;0;0;0
J3KTF8;0;0;0;0;0;0;0;0;0;0;0;0
J3QLE5;0;0;0;0;0;0;0;0;0;0;0;0
J3QLN8;0;0;0;0;0;0;0;0;0;0;0;0
J3QRG6;0;0;0;0;0;0;0;0;0;0;0;0
